CÓDIGO - ALUMNO,EDAD,SEXO,NACIONALIDAD,POBLACIÓN,TIEMPO DE ESTUDIO,ACTIVIDADES EXTRACADÉMICAS,TAMAÑO DE LA FAMILIA,TIPO DE VIVIENDA,ENCARGADO DEL MENOR,ESTADO CIVIL - PADRE,EDUCACIÓN - PADRE,TRABAJO - PADRE,NACIONALIDAD - PADRE,VIVE CON EL ESTUDIANTE - PADRE,ESTADO CIVIL - MADRE,EDUCACIÓN - MADRE,TRABAJO - MADRE,NACIONALIDAD - MADRE,VIVE CON EL ESTUDIANTE - MADRE,GRADO,AÑO LECTIVO,ÁREA,COMPETENCIA,NOTA,AÑO,ENFERMEDADES,TIENE NECESIDADES ESPECIALES
A00001,6,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,PRIMER GRADO,COMUNICACIÓN,COM0011,A,2016,Ninguna,NO
A00001,6,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,PRIMER GRADO,COMUNICACIÓN,COM0012,A,2016,Ninguna,NO
A00001,6,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,PRIMER GRADO,COMUNICACIÓN,COM0013,A,2016,Ninguna,NO
A00001,6,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,PRIMER GRADO,MATEMÁTICA,COM0014,AD,2016,Ninguna,NO
A00001,6,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,PRIMER GRADO,MATEMÁTICA,COM0015,AD,2016,Ninguna,NO
A00001,6,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,PRIMER GRADO,MATEMÁTICA,COM0016,A,2016,Ninguna,NO
A00001,6,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,PRIMER GRADO,MATEMÁTICA,COM0017,A,2016,Ninguna,NO
A00001,6,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,PRIMER GRADO,CIENCIA Y TECNOLOGÍA,COM0018,A,2016,Ninguna,NO
A00001,6,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,PRIMER GRADO,CIENCIA Y TECNOLOGÍA,COM0019,AD,2016,Ninguna,NO
A00001,6,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,PRIMER GRADO,CIENCIA Y TECNOLOGÍA,COM0020,A,2016,Ninguna,NO
A00001,6,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,PRIMER GRADO,INGLÉS,COM0021,AD,2016,Ninguna,NO
A00001,6,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,PRIMER GRADO,EDUCACIÓN RELIGIOSA,COM0024,AD,2016,Ninguna,NO
A00001,6,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,PRIMER GRADO,EDUCACIÓN RELIGIOSA,COM0025,AD,2016,Ninguna,NO
A00001,6,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,PRIMER GRADO,CASTELLANO COMO SEGUNDA LENGUA,COM0026,A,2016,Ninguna,NO
A00001,6,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,PRIMER GRADO,CASTELLANO COMO SEGUNDA LENGUA,COM0027,A,2016,Ninguna,NO
A00001,6,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,PRIMER GRADO,CASTELLANO COMO SEGUNDA LENGUA,COM0028,AD,2016,Ninguna,NO
A00001,7,Masculino,PERÚ,Urbano,4 - 6 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,SEGUNDO GRADO,PERSONAL SOCIAL,COM0001,A,2017,Ninguna,NO
A00001,7,Masculino,PERÚ,Urbano,4 - 6 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,SEGUNDO GRADO,PERSONAL SOCIAL,COM0002,A,2017,Ninguna,NO
A00001,7,Masculino,PERÚ,Urbano,4 - 6 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,SEGUNDO GRADO,PERSONAL SOCIAL,COM0003,A,2017,Ninguna,NO
A00001,7,Masculino,PERÚ,Urbano,4 - 6 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,SEGUNDO GRADO,PERSONAL SOCIAL,COM0004,A,2017,Ninguna,NO
A00001,7,Masculino,PERÚ,Urbano,4 - 6 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,SEGUNDO GRADO,PERSONAL SOCIAL,COM0005,A,2017,Ninguna,NO
A00001,7,Masculino,PERÚ,Urbano,4 - 6 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,SEGUNDO GRADO,EDUCACIÓN FÍSICA,COM0006,A,2017,Ninguna,NO
A00001,7,Masculino,PERÚ,Urbano,4 - 6 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,SEGUNDO GRADO,EDUCACIÓN FÍSICA,COM0007,A,2017,Ninguna,NO
A00001,7,Masculino,PERÚ,Urbano,4 - 6 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,SEGUNDO GRADO,EDUCACIÓN FÍSICA,COM0008,A,2017,Ninguna,NO
A00001,7,Masculino,PERÚ,Urbano,4 - 6 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,SEGUNDO GRADO,ARTE Y CULTURA,COM0009,AD,2017,Ninguna,NO
A00001,7,Masculino,PERÚ,Urbano,4 - 6 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,SEGUNDO GRADO,ARTE Y CULTURA,COM0010,AD,2017,Ninguna,NO
A00001,7,Masculino,PERÚ,Urbano,4 - 6 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,SEGUNDO GRADO,COMUNICACIÓN,COM0011,A,2017,Ninguna,NO
A00001,7,Masculino,PERÚ,Urbano,4 - 6 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,SEGUNDO GRADO,COMUNICACIÓN,COM0012,A,2017,Ninguna,NO
A00001,7,Masculino,PERÚ,Urbano,4 - 6 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,SEGUNDO GRADO,COMUNICACIÓN,COM0013,A,2017,Ninguna,NO
A00001,7,Masculino,PERÚ,Urbano,4 - 6 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,SEGUNDO GRADO,MATEMÁTICA,COM0014,A,2017,Ninguna,NO
A00001,7,Masculino,PERÚ,Urbano,4 - 6 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,SEGUNDO GRADO,MATEMÁTICA,COM0015,A,2017,Ninguna,NO
A00001,7,Masculino,PERÚ,Urbano,4 - 6 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,SEGUNDO GRADO,MATEMÁTICA,COM0016,A,2017,Ninguna,NO
A00001,7,Masculino,PERÚ,Urbano,4 - 6 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,SEGUNDO GRADO,MATEMÁTICA,COM0017,A,2017,Ninguna,NO
A00001,7,Masculino,PERÚ,Urbano,4 - 6 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,SEGUNDO GRADO,CIENCIA Y TECNOLOGÍA,COM0018,A,2017,Ninguna,NO
A00001,7,Masculino,PERÚ,Urbano,4 - 6 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,SEGUNDO GRADO,CIENCIA Y TECNOLOGÍA,COM0019,A,2017,Ninguna,NO
A00001,7,Masculino,PERÚ,Urbano,4 - 6 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,SEGUNDO GRADO,CIENCIA Y TECNOLOGÍA,COM0020,A,2017,Ninguna,NO
A00001,7,Masculino,PERÚ,Urbano,4 - 6 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,SEGUNDO GRADO,INGLÉS,COM0021,A,2017,Ninguna,NO
A00001,7,Masculino,PERÚ,Urbano,4 - 6 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,SEGUNDO GRADO,EDUCACIÓN RELIGIOSA,COM0024,A,2017,Ninguna,NO
A00001,7,Masculino,PERÚ,Urbano,4 - 6 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,SEGUNDO GRADO,EDUCACIÓN RELIGIOSA,COM0025,A,2017,Ninguna,NO
A00001,7,Masculino,PERÚ,Urbano,4 - 6 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,SEGUNDO GRADO,CASTELLANO COMO SEGUNDA LENGUA,COM0026,A,2017,Ninguna,NO
A00001,7,Masculino,PERÚ,Urbano,4 - 6 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,SEGUNDO GRADO,CASTELLANO COMO SEGUNDA LENGUA,COM0027,A,2017,Ninguna,NO
A00001,7,Masculino,PERÚ,Urbano,4 - 6 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,SEGUNDO GRADO,CASTELLANO COMO SEGUNDA LENGUA,COM0028,A,2017,Ninguna,NO
A00001,8,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,TERCER GRADO,PERSONAL SOCIAL,COM0001,A,2018,Ninguna,NO
A00001,8,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,TERCER GRADO,PERSONAL SOCIAL,COM0002,AD,2018,Ninguna,NO
A00001,8,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,TERCER GRADO,PERSONAL SOCIAL,COM0003,A,2018,Ninguna,NO
A00001,8,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,TERCER GRADO,PERSONAL SOCIAL,COM0004,A,2018,Ninguna,NO
A00001,8,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,TERCER GRADO,PERSONAL SOCIAL,COM0005,A,2018,Ninguna,NO
A00001,8,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,TERCER GRADO,EDUCACIÓN FÍSICA,COM0006,AD,2018,Ninguna,NO
A00001,8,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,TERCER GRADO,EDUCACIÓN FÍSICA,COM0007,A,2018,Ninguna,NO
A00001,8,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,TERCER GRADO,EDUCACIÓN FÍSICA,COM0008,A,2018,Ninguna,NO
A00001,8,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,TERCER GRADO,ARTE Y CULTURA,COM0009,AD,2018,Ninguna,NO
A00001,8,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,TERCER GRADO,ARTE Y CULTURA,COM0010,AD,2018,Ninguna,NO
A00001,8,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,TERCER GRADO,COMUNICACIÓN,COM0011,AD,2018,Ninguna,NO
A00001,8,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,TERCER GRADO,COMUNICACIÓN,COM0012,AD,2018,Ninguna,NO
A00001,8,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,TERCER GRADO,COMUNICACIÓN,COM0013,A,2018,Ninguna,NO
A00001,8,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,TERCER GRADO,MATEMÁTICA,COM0014,A,2018,Ninguna,NO
A00001,8,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,TERCER GRADO,MATEMÁTICA,COM0015,A,2018,Ninguna,NO
A00001,8,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,TERCER GRADO,MATEMÁTICA,COM0016,A,2018,Ninguna,NO
A00001,8,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,TERCER GRADO,MATEMÁTICA,COM0017,A,2018,Ninguna,NO
A00001,8,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,TERCER GRADO,CIENCIA Y TECNOLOGÍA,COM0018,AD,2018,Ninguna,NO
A00001,8,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,TERCER GRADO,CIENCIA Y TECNOLOGÍA,COM0019,AD,2018,Ninguna,NO
A00001,8,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,TERCER GRADO,CIENCIA Y TECNOLOGÍA,COM0020,A,2018,Ninguna,NO
A00001,8,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,TERCER GRADO,INGLÉS,COM0021,AD,2018,Ninguna,NO
A00001,8,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,TERCER GRADO,INGLÉS,COM0022,AD,2018,Ninguna,NO
A00001,8,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,TERCER GRADO,INGLÉS,COM0023,AD,2018,Ninguna,NO
A00001,8,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,TERCER GRADO,EDUCACIÓN RELIGIOSA,COM0024,A,2018,Ninguna,NO
A00001,8,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,TERCER GRADO,EDUCACIÓN RELIGIOSA,COM0025,A,2018,Ninguna,NO
A00001,8,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,TERCER GRADO,CASTELLANO COMO SEGUNDA LENGUA,COM0026,A,2018,Ninguna,NO
